id,category,name,brand,department,distribution_center_id,cost,retail_price
1,Tops & Tees,Seven7 Women's Long Sleeve Stripe Belted Top,Seven7,Women,1,27.05,49
2,Tops & Tees,Calvin Klein Women's MSY Crew Neck Roll Sleeve,Calvin Klein,Women,3,36.63,69.5
3,Tops & Tees,Calvin Klein Jeans Women's Solid Flyaway Shirt,Calvin Klein Jeans,Women,8,41,69.5
4,Tops & Tees,Bailey 44 Women's Undertow Top,Bailey 44,Women,6,57.13,108
5,Tops & Tees,Anne Klein Women's Plus-Size Button Front Blouse,Anne Klein,Women,2,52.36,94
6,Tops & Tees,Wilt Women's Color Blocked Big Mixed Slant Top,Wilt,Women,6,78.94,132
7,Tops & Tees,Lucky Brand Women's Riad Tee,Lucky Brand,Women,5,20.93,39.5
8,Tops & Tees,Ella Moss Women's Stella Button Up Shirt,Ella Moss,Women,3,102.31,168
9,Tops & Tees,Alternative Women's Alice Drop Shoulder V-Neck,Alternative,Women,2,27.92,54
10,Tops & Tees,Calvin Klein Women's Plus-Size Print Drape Top,Calvin Klein,Women,3,32.67,59.5
11,Tops & Tees,Lucky Brand Women's Plus-Size Jane Scarf Blouse,Lucky Brand,Women,5,48.87,89.5
12,Tops & Tees,Jones New York Women's Pleated Round Neck Blouse,Jones New York,Women,3,50.79,99
13,Tops & Tees,Jones New York Women's Petite 3/4 Sleeve Blouse,Jones New York,Women,3,45.94,76.7
14,Tops & Tees,Alternative Women's Florence Wrap,Alternative,Women,2,50.86,88
15,Tops & Tees,Lucky Brand Women's Plus-Size Moroccan Medallion Tee,Lucky Brand,Women,5,25.79,49.5
16,Tops & Tees,2B Paradise Breeze Button Down Tank,2b by bebe,Women,5,18.42,32.95
17,Tops & Tees,Calvin Klein Jeans Women's Embellished Stripe Long Sleeve Knit Top,Calvin Klein Jeans,Women,8,34.15,59.5
18,Tops & Tees,Hurley Sun Also Sets T-Shirt - Short-Sleeve - Women's,Hurley,Women,1,12.94,22
19,Tops & Tees,Billabong Aussies T-Shirt - Short-Sleeve - Women's,Billabong,Women,9,13.43,22.5
20,Tops & Tees,Anne Klein Women's Bow Blouse,Anne Klein,Women,2,36.07,63.4
21,Tops & Tees,Volcom Juniors Pocket Blocket Long Sleeve Tee,Volcom,Women,4,14.42,27
22,Tops & Tees,Ella Moss Women's Mystic Print Long Sleeve Blouse,Ella Moss,Women,3,88.32,158
23,Tops & Tees,Lucky Brand Women's Plus-Size Stripe Gayle Henley,Lucky Brand,Women,5,35.58,59.5
24,Tops & Tees,Seven7 Women's V-Neck Center Studs Top,Seven7,Women,1,23.76,44
25,Tops & Tees,Lucky Brand Women's Farrah Top,Lucky Brand,Women,5,46.03,79.5
26,Tops & Tees,Lucky Brand Women's Branded Henna Tee,Lucky Brand,Women,5,26.78,49.5
27,Tops & Tees,Splendid Women's Rib Henley,Splendid,Women,10,38.41,74
28,Tops & Tees,Joe's Jeans Women's Milly Top with Sequins,Joe's Jeans,Women,6,84.86,150.99
29,Tops & Tees,Calvin Klein Women's 2 Pocket Collar Blouse,Calvin Klein,Women,3,41.63,69.5
30,Tops & Tees,Lucky Brand Women's Jane French Knot Blouse,Lucky Brand,Women,5,51.38,99
31,Tops & Tees,Anne Klein Women's Plus-Size Drape Neck Top,Anne Klein,Women,2,35.23,57.95
32,Tops & Tees,TEXTILE Elizabeth and James Women's Warrior Bowery Tee,TEXTILE Elizabeth and James,Women,3,54.92,92
33,Tops & Tees,Kenneth Cole Women's Solid Draped Top,Kenneth Cole,Women,6,37.1,62.99
34,Tops & Tees,Vince Camuto Women's Split Neck Colorblock Blouse,Vince Camuto,Women,1,49.04,89
35,Tops & Tees,D.E.P.T. Women's Sequin Lace Top,D.E.P.T.,Women,9,46.1,89
36,Tops & Tees,Jones New York Women's Shell,Jones New York,Women,3,41.33,69
37,Tops & Tees,Jones New York Women's Embellished Blouse,Jones New York,Women,3,44.47,79.99
38,Tops & Tees,Calvin Klein Women's Plus-Size Print Blouse,Calvin Klein,Women,3,40.7,79.5
39,Tops & Tees,Chaus Women's 3/4 Sleeve Loop Front Kaleidoscope Top,Chaus,Women,5,28.52,49
40,Tops & Tees,Anne Klein Women's Button Front Blouse,Anne Klein,Women,2,53.49,89
41,Tops & Tees,Splendid Women's Double Pocket Shirt,Splendid,Women,10,65.12,108
42,Tops & Tees,Lucky Brand Women's Plus-Size Farrah Printed Top,Lucky Brand,Women,5,51.48,99
43,Tops & Tees,Seven7 Women's Shirt Tail Dolman Top,Seven7,Women,1,26.27,44
44,Tops & Tees,Chaus Women's Electric Sweater Like Slub 3/4 Sleeve Scoop Neck Tee,Chaus,Women,5,25.68,49
45,Tops & Tees,Pendleton Women's Serendipity Stripe Tee,Pendleton,Women,9,39.85,68
46,Tops & Tees,Isaac Mizrahi Women's Victoria Shirt,Isaac Mizrahi Jeans,Women,2,39.61,69.5
47,Tops & Tees,Bailey 44 Women's Pyromania Top,Bailey 44,Women,6,93.56,163
48,Tops & Tees,Calvin Klein Women's Plus-Size Wmn Crew Neck Roll Sleeve,Calvin Klein,Women,3,45.55,79.5
49,Tops & Tees,KUT from the Kloth Women's Ian Plaid Top,KUT from the Kloth,Women,8,31.92,59
50,Tops & Tees,Calvin Klein Women's MSY 3/4 Sleeve Top,Calvin Klein,Women,3,31.12,59.5
51,Tops & Tees,Alternative Women's Ruby Twist Neck Top,Alternative,Women,2,31.03,58
52,Tops & Tees,Twelfth Street by Cynthia Vincent Women's Leather Placket Bell Sleeve,Twelfth Street by Cynthia Vincent,Women,3,143,275
53,Tops & Tees,Democracy Women's Triple Collar Woven Surplus Top with Dot Print and Keyhole,Democracy,Women,2,34.62,64
54,Tops & Tees,Pendleton Women's Getaway Vest,Pendleton,Women,9,44.07,78
55,Tops & Tees,Lucky Brand Women's Plus-Size Tajine Henley Tee,Lucky Brand,Women,5,25.69,49.5
56,Tops & Tees,Joie Women's Edaline B Printed Blouse,Joie,Women,2,130.66,238
57,Tops & Tees,TEXTILE Elizabeth and James Women's Bianca Shirt,TEXTILE Elizabeth and James,Women,3,113.73,215
58,Tops & Tees,Madison Marcus Women's Electric Woven Solid Shirt,Madison,Women,10,115.24,215
59,Tops & Tees,Lucky Brand Women's Moroccan Medallion Tee,Lucky Brand,Women,5,26.88,44.5
